时间,开盘价,最高价,最低价,收盘价,成交量
2025-04-05 13:07:00,83798.23,83798.24,83783.01,83783.01,3.08774
2025-04-05 13:08:00,83783.02,83783.02,83748.73,83748.74,1.68049
2025-04-05 13:09:00,83748.74,83770.4,83748.73,83770.39,3.44842
2025-04-05 13:10:00,83770.39,83781.18,83764.3,83781.17,0.86208
2025-04-05 13:11:00,83781.18,83806.49,83781.17,83799.26,5.61211
2025-04-05 13:12:00,83799.27,83802.72,83785.17,83785.18,2.38586
2025-04-05 13:13:00,83785.18,83789.09,83785.18,83789.09,1.41415
2025-04-05 13:14:00,83789.09,83802.53,83789.08,83802.53,1.61392
2025-04-05 13:15:00,83802.52,83802.53,83786.0,83786.0,4.97914
2025-04-05 13:16:00,83786.0,83786.01,83786.0,83786.0,0.81691
2025-04-05 13:17:00,83786.0,83794.66,83754.55,83754.56,9.24694
2025-04-05 13:18:00,83754.55,83760.06,83754.55,83760.05,1.89287
2025-04-05 13:19:00,83760.05,83761.44,83760.05,83761.44,1.39117
2025-04-05 13:20:00,83761.44,83761.45,83756.0,83756.0,3.65503
2025-04-05 13:21:00,83756.0,83795.82,83756.0,83795.81,3.04215
2025-04-05 13:22:00,83795.81,83795.81,83754.55,83754.55,5.52971
2025-04-05 13:23:00,83754.56,83775.49,83746.26,83747.29,5.02116
2025-04-05 13:24:00,83747.28,83747.29,83741.06,83741.06,2.20907
2025-04-05 13:25:00,83741.06,83775.49,83741.06,83775.49,4.4381
2025-04-05 13:26:00,83775.49,83780.0,83775.48,83779.99,1.71763
2025-04-05 13:27:00,83779.99,83827.52,83779.99,83816.5,12.32693
2025-04-05 13:28:00,83816.49,83824.0,83811.6,83821.46,3.41917
2025-04-05 13:29:00,83821.46,83838.19,83821.46,83838.19,3.30964
2025-04-05 13:30:00,83838.18,83838.19,83838.18,83838.18,2.28454
2025-04-05 13:31:00,83838.18,83868.0,83838.18,83854.63,4.16236
2025-04-05 13:32:00,83854.63,83854.64,83789.68,83804.68,6.2136
